"","hospital","estimate"
"65","20029",0.0775656674500607
"66","20030",-0.0816496936496789
"67","20032",-0.137338279365336
"68","20033",-0.0110395122343674
"69","20036",0.0783606498470791
"70","20038",-0.0820802119397759
"71","20046",0.075929107368207
"72","20050",-0.0289076430530769
"73","20056",0.176463696490863
"74","20057",-0.0497211013385939
"75","20064",-0.0743454299839786
"76","20086",-0.113163779709092
"77","20088",-0.0797946569602747
"78","20096",0.182347207669831
"79","20105",-0.0628877340582073
"80","20106",0.0386666021163145
"81","20108",-0.00691723931736962
"82","20110",0.0184048506572488
"83","20113",0.0328819583893824
"84","20115",0.223390273052721
"85","20116",-0.0010506521776514
"86","20121",0.097181031917449
"87","20125",0.0401807840076664
"88","20131",-0.101476650346052
"89","20135",0.0804986696056351
"90","20136",-0.0235323919199689
"91","20137",-0.0335523253667956
"92","20138",-0.0212824728806366
"93","20139",0.0582864229324661
"94","20142",-0.0165851237999882
"95","20145",0.332236796855685
"96","20146",-0.0681840932280537
"97","20147",-0.117785068974826
"98","20148",-0.109853555227931
"99","20155",-0.0796811185536146
"100","20159",-0.0462404494585139
"101","20160",-0.0486723173446977
"102","20165",0.256016428558871
"103","20169",-0.035718481917223
"104","20173",-0.0670959798342456
"105","20179",0.00697976118519052
"106","20182",-0.0657194508421124
"107","20183",0.633947000628301
"108","20188",0.102208231663018
"109","20189",-0.143794501827329
"110","20191",-0.139448957153343
"111","20196",0.0408661519512471
"112","20207",-0.0821806405466543
"113","20210",-0.14395845911853
"114","20212",-0.0489935074427461
"115","20213",-0.128895270410196
"116","20220",-0.158012164638221
"117","20223",0.314458800879564
"118","20224",0.138717122578977
"119","20226",-0.0764319932793857
"120","20228",0.0579194546553879
"121","20229",-0.112744620112566
"122","20231",0.194821726874603
"123","20237",-0.0752783308859723
"124","20243",0.00404401100017363
"125","20245",-0.0797332037520093
"126","20246",0.0192728046655829
"127","20248",-0.0761728969886378
"128","20250",0.0605325350506909
"129","20251",0.0722318183819214
"130","20252",0.026704569380313
"131","20257",0.0148850997213969
"132","20259",-0.0567719156624261
"133","20263",-0.113229413500765
"134","20266",-0.0539085399826764
"135","20267",0.0299522435133496
"136","20268",0.0659421920877407
"137","20275",-0.123730210312142
"138","20279",0.0538895412633065
"139","20280",-0.0472826785525975
"140","20282",-0.0668858690343845
"141","20286",0.209880784562098
"142","20288",-0.138354019650476
"143","20297",-0.0556557091906296
"144","20300",0.430793342377142
"145","20304",0.0490521780196385
"146","20305",0.0775809421588206
"147","20310",-0.128023669787723
"148","20317",-0.0701961783076113
"149","20321",-0.0172750552972242
"150","20322",0.121754404538186
"151","20323",-0.0705438572145566
"152","20324",0.009729840416682
"153","20328",0.178105008748521
"154","20332",-0.0802928293573671
"155","20336",0.123005449506335
"156","20337",-0.119574556664659
"157","20338",-0.0991824353591216
"158","20340",-0.0664456165634643
"159","20341",0.0414140929598097
"160","20345",-0.0237735403274953
"161","20350",-0.0739517819850614
"162","20353",-0.0566801470629875
"163","20356",0.0337767118236573
"164","20357",0.120198788139685
"165","20358",-0.0641528297510601
"166","20360",-0.143676598420189
"167","20362",-0.0252017082216497
"168","20364",-0.0522005556386984
"169","20365",-0.103573791875146
"170","20370",-0.0483773468462928
"171","20373",-0.0163996386512696
"172","20380",0.0810846644721217
"173","20381",-0.0505011344342272
"174","20382",-0.113111425301351
"175","20390",0.0417938674638756
"176","20391",-0.130416208274135
"177","20393",-0.0607638497397499
"178","20394",0.104692885087435
"179","20399",-0.0767383505841292
"180","20401",0.0245009076225745
"181","20409",0.128368512006827
"182","20410",-0.142575375226369
"183","20414",-0.0501143953363966
